epoch,lambda,noise,shots,acc,loss,n_samples
1,3,0.05,1,16.833333333333332,2.266710076429138,5400
1,3,0.05,4,19.685185185185187,2.1713572681198414,5400
1,3,0.05,16,24.14814814814815,2.1407829539431162,5400
1,3,0.05,64,27.314814814814813,2.1348149467221447,5400
1,3,0.05,256,29.40740740740741,2.132986651232232,5400
1,3,0.05,1024,28.61111111111111,2.1326491182446436,5400
2,3,0.05,1,20.12962962962963,2.224972935944882,5400
2,3,0.05,4,26.962962962962962,2.038323789108811,5400
2,3,0.05,16,37.01851851851852,1.991090462459944,5400
2,3,0.05,64,43.31481481481482,1.9782885294834907,5400
2,3,0.05,256,46.0,1.9775696033516845,5400
2,3,0.05,1024,46.81481481481482,1.9763250608241945,5400
3,3,0.05,1,23.24074074074074,2.1537719796641066,5400
3,3,0.05,4,33.05555555555556,1.9026211754389801,5400
3,3,0.05,16,48.75925925925926,1.8325352887909596,5400
3,3,0.05,64,53.833333333333336,1.8217344378753895,5400
3,3,0.05,256,56.092592592592595,1.8153582928357392,5400
3,3,0.05,1024,56.925925925925924,1.8147356967315111,5400
4,3,0.05,1,26.055555555555554,2.137720593832432,5400
4,3,0.05,4,38.24074074074074,1.8036115308814384,5400
4,3,0.05,16,59.592592592592595,1.7134595723191275,5400
4,3,0.05,64,71.07407407407408,1.693054913201348,5400
4,3,0.05,256,76.24074074074075,1.687947510072257,5400
4,3,0.05,1024,78.64814814814814,1.6865127750257929,5400
5,3,0.05,1,28.555555555555557,2.131617634915504,5400
5,3,0.05,4,42.333333333333336,1.711686222364145,5400
5,3,0.05,16,64.53703703703704,1.598842997012847,5400
5,3,0.05,64,77.18518518518519,1.575648738701098,5400
5,3,0.05,256,81.42592592592592,1.5689958347074646,5400
5,3,0.05,1024,82.51851851851852,1.5678776276695479,5400
6,3,0.05,1,28.77777777777778,2.183902264200813,5400
6,3,0.05,4,42.75925925925926,1.6495846914939196,5400
6,3,0.05,16,66.75925925925927,1.5071643964194188,5400
6,3,0.05,64,77.51851851851852,1.477903481156675,5400
6,3,0.05,256,80.81481481481482,1.4691683953283468,5400
6,3,0.05,1024,82.37037037037037,1.4664755958450466,5400
7,3,0.05,1,30.166666666666668,2.2120291242802907,5400
7,3,0.05,4,44.44444444444444,1.5861017148539833,5400
7,3,0.05,16,68.27777777777779,1.4305205904367329,5400
